date,volume,high,low,open,close
2006-06-01 01:00:00+00:00,3206.0,112.75,112.418,112.627,112.575
2006-06-01 05:00:00+00:00,4262.0,113.075,112.53,112.579,112.775
2006-06-01 09:00:00+00:00,5117.0,113.375,112.735,112.785,113.23
2006-06-01 13:00:00+00:00,6302.0,113.315,112.365,113.228,112.54
2006-06-01 17:00:00+00:00,1831.0,112.745,112.53,112.545,112.715
2006-06-01 21:00:00+00:00,2414.0,112.735,112.446,112.718,112.586
2006-06-02 01:00:00+00:00,2254.0,112.76,112.51,112.58,112.616
2006-06-02 05:00:00+00:00,3637.0,112.925,112.596,112.62,112.822
2006-06-02 09:00:00+00:00,4541.0,112.867,111.835,112.812,111.915
2006-06-02 13:00:00+00:00,7064.0,111.965,111.332,111.925,111.564
2006-06-02 17:00:00+00:00,1937.0,111.735,111.497,111.562,111.735
2006-06-04 17:00:00+00:00,339.0,111.919,111.601,111.72,111.65
2006-06-04 21:00:00+00:00,1840.0,111.782,111.557,111.65,111.582
2006-06-05 01:00:00+00:00,1886.0,111.692,111.522,111.592,111.537
2006-06-05 05:00:00+00:00,3833.0,111.896,111.435,111.542,111.69
2006-06-05 09:00:00+00:00,3270.0,111.797,111.61,111.685,111.77
2006-06-05 13:00:00+00:00,4218.0,111.885,111.537,111.77,111.588
2006-06-05 17:00:00+00:00,3346.0,112.305,111.578,111.588,112.24
2006-06-05 21:00:00+00:00,2390.0,112.43,112.115,112.24,112.382
2006-06-06 01:00:00+00:00,2186.0,112.502,112.308,112.372,112.436
2006-06-06 05:00:00+00:00,3716.0,112.466,112.061,112.434,112.251
2006-06-06 09:00:00+00:00,4519.0,112.892,112.125,112.25,112.807
2006-06-06 13:00:00+00:00,6455.0,113.56,112.786,112.812,113.225
2006-06-06 17:00:00+00:00,2131.0,113.335,113.085,113.22,113.325
2006-06-06 21:00:00+00:00,2013.0,113.405,113.07,113.325,113.076
2006-06-07 01:00:00+00:00,2198.0,113.126,112.932,113.07,113.096
2006-06-07 05:00:00+00:00,4231.0,113.5,113.096,113.096,113.3
2006-06-07 09:00:00+00:00,4040.0,113.377,113.035,113.305,113.338
2006-06-07 13:00:00+00:00,4835.0,113.687,113.257,113.337,113.377
2006-06-07 17:00:00+00:00,1788.0,113.6,113.317,113.377,113.58
2006-06-07 21:00:00+00:00,1941.0,113.6,113.375,113.58,113.596
2006-06-08 01:00:00+00:00,2495.0,113.728,113.526,113.6,113.586
