date,volume,high,low,open,close
2006-06-01 01:00:00+00:00,1102.0,112.75,112.418,112.627,112.52
2006-06-01 02:00:00+00:00,776.0,112.655,112.51,112.525,112.605
2006-06-01 03:00:00+00:00,670.0,112.74,112.58,112.605,112.69
2006-06-01 04:00:00+00:00,658.0,112.702,112.535,112.69,112.575
2006-06-01 05:00:00+00:00,684.0,112.64,112.53,112.579,112.54
2006-06-01 06:00:00+00:00,1008.0,112.737,112.541,112.543,112.66
2006-06-01 07:00:00+00:00,1510.0,113.075,112.64,112.66,112.788
2006-06-01 08:00:00+00:00,1060.0,112.82,112.614,112.785,112.775
2006-06-01 09:00:00+00:00,984.0,112.982,112.735,112.785,112.915
2006-06-01 10:00:00+00:00,1051.0,113.145,112.909,112.92,113.075
2006-06-01 11:00:00+00:00,1412.0,113.275,113.042,113.085,113.155
2006-06-01 12:00:00+00:00,1670.0,113.375,113.145,113.155,113.23
2006-06-01 13:00:00+00:00,1499.0,113.315,113.139,113.228,113.234
2006-06-01 14:00:00+00:00,2728.0,113.24,112.365,113.225,112.395
2006-06-01 15:00:00+00:00,1425.0,112.615,112.395,112.405,112.465
2006-06-01 16:00:00+00:00,650.0,112.57,112.425,112.47,112.54
2006-06-01 17:00:00+00:00,522.0,112.695,112.53,112.545,112.61
2006-06-01 18:00:00+00:00,543.0,112.69,112.611,112.611,112.685
2006-06-01 19:00:00+00:00,477.0,112.745,112.652,112.69,112.71
2006-06-01 20:00:00+00:00,289.0,112.745,112.65,112.71,112.715
2006-06-01 21:00:00+00:00,388.0,112.735,112.574,112.718,112.595
2006-06-01 22:00:00+00:00,397.0,112.645,112.457,112.595,112.48
2006-06-01 23:00:00+00:00,664.0,112.686,112.485,112.485,112.486
2006-06-02 00:00:00+00:00,965.0,112.596,112.446,112.496,112.586
2006-06-02 01:00:00+00:00,880.0,112.752,112.576,112.58,112.642
2006-06-02 02:00:00+00:00,356.0,112.742,112.644,112.644,112.712
2006-06-02 03:00:00+00:00,332.0,112.76,112.666,112.716,112.68
2006-06-02 04:00:00+00:00,686.0,112.69,112.51,112.68,112.616
2006-06-02 05:00:00+00:00,619.0,112.762,112.596,112.62,112.752
