time,volume,high,low,open,close
2005-06-30 21:00:00+00:00,6278.0,110.926,110.620,110.916,110.846
2005-07-01 01:00:00+00:00,6541.0,111.120,110.820,110.846,111.016
2005-07-01 05:00:00+00:00,9752.0,111.232,110.996,111.016,111.054
2005-07-01 09:00:00+00:00,9957.0,111.178,110.666,111.054,111.158
2005-07-01 13:00:00+00:00,10693.0,111.782,111.138,111.158,111.642
2005-07-01 17:00:00+00:00,4300.0,111.790,111.642,111.642,111.790
2005-07-01 21:00:00+00:00,1.0,111.790,111.790,111.790,111.790
2005-07-03 17:00:00+00:00,588.0,111.745,111.635,111.740,111.665
2005-07-03 21:00:00+00:00,4009.0,111.890,111.490,111.665,111.520
2005-07-04 01:00:00+00:00,6663.0,111.740,111.510,111.520,111.550
2005-07-04 05:00:00+00:00,8899.0,111.688,111.398,111.560,111.538
2005-07-04 09:00:00+00:00,9333.0,111.642,111.382,111.538,111.512
2005-07-04 13:00:00+00:00,7296.0,111.666,111.332,111.512,111.596
2005-07-04 17:00:00+00:00,1530.0,111.646,111.536,111.596,111.616
2005-07-04 21:00:00+00:00,4270.0,111.690,111.490,111.616,111.500
2005-07-05 01:00:00+00:00,5952.0,111.700,111.450,111.500,111.640
2005-07-05 05:00:00+00:00,10145.0,112.126,111.604,111.640,111.754
2005-07-05 09:00:00+00:00,9191.0,111.996,111.736,111.754,111.796
2005-07-05 13:00:00+00:00,9484.0,111.962,111.602,111.796,111.782
2005-07-05 17:00:00+00:00,5647.0,111.782,111.572,111.782,111.740
2005-07-05 21:00:00+00:00,4530.0,111.770,111.570,111.740,111.590
2005-07-06 01:00:00+00:00,5250.0,111.690,111.540,111.590,111.590
2005-07-06 05:00:00+00:00,9180.0,111.794,111.458,111.590,111.774
2005-07-06 09:00:00+00:00,9050.0,111.948,111.720,111.774,111.790
2005-07-06 13:00:00+00:00,10721.0,112.288,111.720,111.790,112.148
2005-07-06 17:00:00+00:00,5108.0,112.248,112.108,112.138,112.188
2005-07-06 21:00:00+00:00,5426.0,112.300,112.170,112.188,112.210
2005-07-07 01:00:00+00:00,6291.0,112.340,112.150,112.210,112.220
2005-07-07 05:00:00+00:00,8747.0,112.310,111.952,112.220,111.962
2005-07-07 09:00:00+00:00,12111.0,112.002,111.492,111.962,111.812
2005-07-07 13:00:00+00:00,10092.0,112.134,111.782,111.822,112.084
2005-07-07 17:00:00+00:00,5489.0,112.204,111.944,112.084,112.082
2005-07-07 21:00:00+00:00,4214.0,112.370,111.962,112.082,112.350
2005-07-08 01:00:00+00:00,5219.0,112.380,112.270,112.350,112.276
2005-07-08 05:00:00+00:00,8570.0,112.400,112.200,112.286,112.280
2005-07-08 09:00:00+00:00,9373.0,112.598,112.168,112.280,112.258
2005-07-08 13:00:00+00:00,10354.0,112.372,111.788,112.248,112.342
2005-07-08 17:00:00+00:00,5474.0,112.372,112.140,112.342,112.180
